character_id,template_type,content
8,advice,"자신의 분야에 대한 열정은 귀중합니다. 하지만 가끔은 고개를 들어 주변을 살피는 것도 필요해요. 균형 잡힌 시각이 당신을 더 성장시킬 거예요."
9,basic,"당신은 은심처럼 신뢰할 수 있는 조력자입니다. 다른 사람의 꿈을 위해 헌신하고, 그 과정에서 자신만의 가치를 만들어가는 모습이 인상적이네요."
9,modern,"현대 사회에서 은심은 리더의 성공을 돕는 믿음직한 파트너나 멘토의 모습과 닮았습니다. 당신도 그런 든든한 지원자의 역할을 잘 해내고 있어요."
9,advice,"조력자의 역할도 중요하지만, 당신만의 꿈도 소중합니다. 다른 사람을 돕는 과정에서 자신의 성장도 놓치지 마세요."
10,basic,"당신은 백소정처럼 사랑을 위해 모든 것을 걸 수 있는 낭만적인 사람입니다. 험난한 상황에서도 끝까지 사랑을 지키려는 의지가 강하네요."
10,modern,"현대 사회에서 백소정은 서로 다른 문화나 배경을 가진 연인들의 사랑을 떠올리게 합니다. 당신도 그런 차이를 뛰어넘는 용기있는 사랑을 추구하는군요."
10,advice,"사랑을 위한 희생은 아름답지만, 때로는 자신을 잃지 않도록 주의하세요. 진정한 사랑은 서로를 있는 그대로 인정하는 것에서 시작됩니다."
11,basic,"당신은 소청처럼 신실한 동반자입니다. 주변 사람들을 위해 자신을 희생할 줄 알고, 어려운 상황에서도 함께하는 우정의 가치를 아는 사람이네요."
11,modern,"현대의 소청은 친구나 가족을 위해 헌신하는 든든한 지원군의 모습입니다. 당신도 그렇게 타인을 위해 자신을 내어주는 따뜻한 마음을 가졌어요."
11,advice,"다른 사람을 돕는 것도 중요하지만, 가끔은 자신을 위한 시간도 가지세요. 당신의 행복이 있어야 다른 사람도 도울 수 있답니다."
12,basic,"당신은 허선처럼 순수하고 따뜻한 마음을 가진 사람입니다. 편견 없이 사람을 대하고, 진정한 사랑을 위해 용기를 내는 모습이 아름답네요."
12,modern,"현대 사회에서 허선은 차별과 편견에 맞서 사랑을 지키려는 용기 있는 청년의 모습입니다. 당신도 그런 순수한 열정을 가지고 있군요."
12,advice,"당신의 순수함은 큰 장점이지만, 때로는 세상의 냉혹함에 상처받을 수 있어요. 하지만 그 마음을 잃지 않길 바랍니다. 그것이 당신만의 특별함이니까요."
13,basic,"당신은 법해처럼 원칙과 규율을 중요하게 여기는 사람입니다. 확고한 신념을 가지고 있지만, 때로는 그것이 융통성 없게 보일 수 있어요."
13,modern,"현대 사회에서 법해는 변화를 거부하고 기존 질서만을 고수하려는 보수적인 모습을 보여줍니다. 당신도 그런 경향이 있을 수 있어요."
13,advice,"원칙을 지키는 것은 중요하지만, 때로는 유연한 사고도 필요합니다. 다른 관점에서 세상을 바라보는 여유를 가져보는 건 어떨까요?"
14,basic,"당신은 조무처럼 운명의 무게를 짊어진 사람입니다. 어려운 상황 속에서도 희망을 잃지 않고, 자신의 사명을 다하려 노력하는 모습이 보입니다."
14,modern,"현대 사회에서 조무는 가문이나 가업을 이어받아야 하는 부담감을 안고 사는 청년의 모습과 닮았습니다. 당신도 그런 책임감을 느끼고 있군요."
14,advice,"짊어진 책임이 무겁게 느껴질 때도 있겠지만, 그것이 당신을 더 강하게 만들 거예요. 주변의 도움을 받아들이는 것도 용기임을 잊지 마세요."
15,basic,"당신은 정영처럼 정의를 위해 자신을 희생할 수 있는 고귀한 영혼의 소유자입니다. 옳은 일을 위해서라면 어떤 위험도 감수하는 용기가 있네요."
15,modern,"현대 사회에서 정영은 부패와 불의에 맞서 싸우는 내부고발자나 인권운동가의 모습과 닮았습니다. 당신도 그런 정의로운 가치를 추구하고 있어요."
15,advice,"정의를 위한 당신의 희생은 고귀합니다. 하지만 때로는 장기전을 위한 전략적 판단도 필요해요. 현명하게 힘을 아끼는 것도 중요합니다."
16,basic,"당신은 장희처럼 강인하면서도 따뜻한 마음을 가진 사람입니다. 사랑하는 이들을 지키기 위해 자신을 희생할 줄 알고, 어떤 역경도 극복하는 의지가 돋보이네요."
16,modern,"현대 사회에서 장희는 가족을 위해 자신의 모든 것을 걸고 싸우는 싱글맘이나 워킹맘의 모습과 닮았습니다. 당신도 그런 강인한 모성과 희생정신을 가지고 있군요."
16,advice,"당신의 희생정신은 아름답지만, 때로는 자신을 위한 시간도 필요합니다. 가족을 지키는 것도 중요하지만, 당신의 행복도 그만큼 소중하답니다. 균형을 찾아보세요."
